name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,procs,strategy
BM_find_middle/1000,3,2,BM_find_middle/1000,iteration,1,0,1,18777,37122.090430152544,37121.90270011184,ns,4,Least Recently Used
BM_find_middle/10000,3,3,BM_find_middle/10000,iteration,1,0,1,1949,363892.26320686116,363746.81836839387,ns,4,Least Recently Used
BM_find_middle/100000,3,4,BM_find_middle/100000,iteration,1,0,1,192,3641066.406241104,3640951.2343749856,ns,4,Least Recently Used
BM_find_middle/1000000,3,5,BM_find_middle/1000000,iteration,1,0,1,19,36517196.578451574,36497075.631578766,ns,4,Least Recently Used
BM_std_sort/10,4,0,BM_std_sort/10,iteration,1,0,1,211235,3318.0828507790625,3316.5563613984345,ns,4,Least Recently Used
BM_std_sort/100,4,1,BM_std_sort/100,iteration,1,0,1,6719,104198.57479050569,104156.34811727892,ns,4,Least Recently Used
BM_std_sort/1000,4,2,BM_std_sort/1000,iteration,1,0,1,435,1610345.8022779045,1610327.694252897,ns,4,Least Recently Used
BM_std_sort/10000,4,3,BM_std_sort/10000,iteration,1,0,1,29,24306603.89604625,24306601.62068946,ns,4,Least Recently Used
BM_std_sort/100000,4,4,BM_std_sort/100000,iteration,1,0,1,2,304863227.5022101,304855209.99999946,ns,4,Least Recently Used
BM_std_sort/1000000,4,5,BM_std_sort/1000000,iteration,1,0,1,1,3625412215.0130568,3625346796.0000024,ns,4,Least Recently Used
BM_at/10,0,0,BM_at/10,iteration,1,0,1,10223073,68.23325696747473,68.23253047298009,ns,4,Most Recently Used
BM_at/100,0,1,BM_at/100,iteration,1,0,1,10244179,68.63115023628106,68.63029677634472,ns,4,Most Recently Used
BM_at/1000,0,2,BM_at/1000,iteration,1,0,1,10315447,67.83121826916158,67.83135980437896,ns,4,Most Recently Used
BM_at/10000,0,3,BM_at/10000,iteration,1,0,1,10280756,68.43711513017337,68.43661925251375,ns,4,Most Recently Used
BM_at/100000,0,4,BM_at/100000,iteration,1,0,1,10231576,68.39105813307842,68.35439515867343,ns,4,Most Recently Used
BM_at/1000000,0,5,BM_at/1000000,iteration,1,0,1,10484810,67.70115195169029,67.70114994930731,ns,4,Most Recently Used
BM_insert/10,1,0,BM_insert/10,iteration,1,0,1,1538822,456.83008561381655,456.8249524636387,ns,4,Most Recently Used
BM_insert/100,1,1,BM_insert/100,iteration,1,0,1,1542637,456.0616554584258,456.05460001283825,ns,4,Most Recently Used
BM_insert/1000,1,2,BM_insert/1000,iteration,1,0,1,1534235,457.84133331254077,457.837161191078,ns,4,Most Recently Used
BM_insert/10000,1,3,BM_insert/10000,iteration,1,0,1,1515548,461.29205278201306,461.28557129170275,ns,4,Most Recently Used
BM_insert/100000,1,4,BM_insert/100000,iteration,1,0,1,1516436,461.4912821903785,461.4779568672852,ns,4,Most Recently Used
